Geography,Statistic,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
New_Brunswick,50000_to_9999,7.7,7.9,8.4,8.2,7.7,8.6,9,8.5,8.7,9.1,9.1
New_Brunswick,60000_to_9999,6,5.8,6,6.4,6,6,7,6.3,6.1,7.4,7.1
New_Brunswick,70000_to_9999,5,4.7,5.4,5.3,5.2,5.5,5.3,5,5,5.9,5.2
New_Brunswick,80000_to_9999,7.4,8.7,7.1,7.5,8,7.5,6.9,7.9,9,7.4,8.2
New_Brunswick,80000_to_9999,4.4,4.8,4,4.1,4.3,4,4.1,3.8,4.6,3.7,4.3
New_Brunswick,90000_to_9999,3,4,3.2,3.4,3.7,3.5,2.8,4,4.3,3.7,3.9
New_Brunswick,100000_and_over,9.2,9.4,9.3,9,9.2,9.7,10.1,10.2,9.9,9.3,9.9
Ontario,Average_employment_income,54900,55500,56400,56500,57700,57000,56000,56100,59300,59300,59100
Ontario,Median_employment_income,40500,41600,41800,41600,41900,42900,43200,41800,44400,44300,45000
Ontario,Percentage_under_5000,12.5,11.8,11,10.9,11.7,11,11,13.8,12.8,12,11.7
Ontario,5000_to_9999,7.5,7.2,7,7.3,6.8,6.6,6.6,8.3,7.9,6.6,6.3
Ontario,10000_to_9999,12,12.2,11.9,11.9,12.5,11.7,11.8,11,9.9,10.8,11.2
Ontario,20000_to_9999,8.6,9.3,10.1,9.8,9,9.3,9.2,8.1,8.5,8.8,8.6
Ontario,30000_to_9999,9,8.2,8.4,8.5,8.2,8.6,8.4,7.3,7.6,8.2,7.9
Ontario,40000_to_9999,7.8,8.4,8,8.1,8.4,8.5,8.5,7.5,7.9,8.2,8.6
Ontario,50000_to_9999,7.7,7.7,7,7.6,7.6,8,8.8,6.7,7.4,8.2,8
Ontario,60000_to_9999,6.1,6.4,7,6.7,6.5,6.5,6,6.7,6.8,6.7,6.6
Ontario,70000_to_9999,5.4,5.3,5.4,5.3,5.1,5.7,5.3,5.3,5.6,5.4,5.9
Ontario,80000_to_9999,8,7.6,8.2,8,8,8,8.5,8.6,8.4,8.6,8.5
Ontario,80000_to_9999,4.3,4.3,4.3,4.3,4.5,4.2,4.6,4.5,4.3,4.6,4.7
Ontario,90000_to_9999,3.7,3.3,3.9,3.7,3.5,3.9,4,4.1,4.1,4,3.9
Ontario,100000_and_over,15.4,15.9,16,16,16.2,16,15.8,16.8,17.3,16.5,16.7
Alberta,Average_employment_income,69900,68900,70000,63700,65300,65500,64000,60900,64500,61700,62600
Alberta,Median_employment_income,53400,52200,50600,48600,50600,49400,49400,45900,48100,47200,47200
Alberta,Percentage_under_5000,7.6,9.3,8.3,9.4,8.9,9.6,9.9,11.3,11.2,11,11
Alberta,5000_to_9999,6.1,5.9,6.8,5.9,6.3,6.3,6.2,7.6,6.3,6.5,6.1
Alberta,10000_to_9999,10.1,10.4,10.2,11,11.1,10.7,9.6,10.6,11.1,9.5,10.7
Alberta,20000_to_9999,8.1,8,8.1,8.8,8.5,8.2,8.2,8.7,7.8,8.9,8.4
Alberta,30000_to_9999,8.2,8.5,8.8,8.4,7.5,8.2,7.9,7.7,7.9,8.2,7.9
Alberta,40000_to_9999,7.5,6.6,7.3,7.5,7.2,7.8,8.4,7.1,7.3,8.6,7.9
Alberta,50000_to_9999,7.3,7.3,6.4,7,8,7.5,7.5,7.1,7.4,7.4,7.6
Alberta,60000_to_9999,6.1,6.4,6.3,6.3,6.4,6.6,7.5,6.3,6.5,6.6,6.8
Alberta,70000_to_9999,6.4,5.5,6.4,6.1,5.9,5.5,5.4,5.1,5.8,5.5,5.7
Alberta,80000_to_9999,9.2,9,8.9,8.5,8.7,9.2,8.7,9.4,8.7,9.4,9.1
Alberta,80000_to_9999,5.1,4.7,4.5,4.9,4.7,4.7,4.6,4.6,4.8,5.3,5
Alberta,90000_to_9999,4.1,4.3,4.4,3.6,4,4.4,4.1,4.8,3.9,4,4.1
Alberta,100000_and_over,23.5,23.3,22.4,21.1,21.5,20.5,20.5,19.3,20,18.4,19
British_Columbia,Average_employment_income,51100,51300,50800,51200,51100,52800,52700,54200,57600,58300,60000
British_Columbia,Median_employment_income,38000,38900,37900,38400,37800,39000,40200,41700,44500,45300,46700
British_Columbia,Percentage_under_5000,13.7,14.6,13.6,14,14.4,14,12.6,13,11.5,10.5,10
British_Columbia,5000_to_9999,6.9,6.4,7.5,7.1,6.8,6.1,6.7,7.9,6.3,6.2,5.9
British_Columbia,10000_to_9999,12.4,12.3,11.8,11.2,11.2,11.2,11.6,11.5,10.4,10.5,10.8
British_Columbia,20000_to_9999,9.6,9.2,9.6,9.4,10,10.4,9.4,8.1,9.2,9.4,8.6
British_Columbia,30000_to_9999,9.3,8.4,9.4,10,9.8,9.3,9.5,8.3,8.8,8.5,8.5
British_Columbia,40000_to_9999,8,9.5,7.6,8.4,7.2,7.9,8.1,7.8,8.3,9.1,9.4
British_Columbia,50000_to_9999,7.5,7.6,7.3,7.2,7.5,7.8,8.1,7.6,7.7,8.8,8
British_Columbia,60000_to_9999,6.4,5.7,7,6.4,6.7,6.6,6.7,6.7,7,7.3,7.4
British_Columbia,70000_to_9999,4.8,5.5,4.5,5,4.7,5,5.8,5.3,5.7,5.5,6.3
British_Columbia,80000_to_9999,8.4,7.9,7.2,7,8.7,7.7,8.2,8.6,8.7,9.1,8.3
British_Columbia,80000_to_9999,4.2,4.7,3.6,3.5,4.5,3.6,4.7,4.6,4.7,4.6,4.4
British_Columbia,90000_to_9999,4.2,3.1,3.6,3.4,4.2,4.1,3.6,4,4,4.6,3.9
British_Columbia,100000_and_over,13,12.9,14.4,14.2,12.8,14,13.4,15.1,16.5,15.1,16.8
